claim_id,source_id,category,claim_text,geographic_scope,name_as_reported,source_quality,caution,claim_category,community_as_reported,evidence_directness,verification_status,dataset_version
HCLM0001,HS0001,ethnobotany,A Jharkhand checklist reports more than 53 plants associated with Handia preparation.,Jharkhand,Handia,High,"Full plant list is not publicly visible in the accessible abstract, so it is not reconstructed.",ethnobotany,NR,direct,verified,1.0.0
HCLM0002,HS0001,safety/adulteration,"The surveyed study reported replacement of some traditional herbs with urea, raw mahua liquor or spirit in some areas.",Jharkhand,Handia,High,Historical source-specific observation; not generalized to current statewide practice.,safety/adulteration,NR,direct,verified,1.0.0
HCLM0003,HS0002,ethnobotany,"Ho Ranu in West Singhbhum was reported to use Woodfordia fruticosa, Ruellia tuberosa, Andrographis paniculata, Dioscorea bulbifera roots and Madhuca longifolia bark.","West Singhbhum, Jharkhand",Handia,High,Directly reported in source abstract.,ethnobotany,NR,direct,verified,1.0.0
HCLM0004,HS0003,variation,Ranu composition varies among regions and tribes according to the Khunti Oraon study.,"Khunti, Jharkhand",Handia,High,Preserve variation; do not define one universal recipe.,variation,NR,direct,verified,1.0.0
HCLM0005,HS0003,culture,"The Khunti study describes Handia as socially, culturally, economically and religiously important.","Khunti, Jharkhand",Handia,High,Source-reported.,culture,NR,direct,verified,1.0.0
HCLM0006,HS0004,process,Haria was prepared from boiled rice with Bakhar in heat-sterilized earthen pots for roughly 3–4 days.,West Bengal,Haria,High,Do not transfer as a Jharkhand recipe.,process,NR,direct,verified,1.0.0
HCLM0007,HS0004,chemistry,Consumable Haria in the cited study had about 2–3% v/v alcohol and titratable acidity of 1.42%.,West Bengal,Haria,High,Study-specific.,chemistry,NR,direct,verified,1.0.0
HCLM0008,HS0005,microbiology,"Yeasts and moulds peaked around day 2, while LAB and Bifidobacterium increased during the cited Haria fermentation.",West Bengal,Haria,High,Laboratory result.,microbiology,NR,direct,verified,1.0.0
HCLM0009,HS0005,chemistry,"The Haria study measured maltotetrose 26.18 µg/g, maltotriose 28.16 µg/g and maltose 26.94 µg/g.",West Bengal,Haria,High,Laboratory result.,chemistry,NR,direct,verified,1.0.0
HCLM0010,HS0005,bioactivity,Fermented material showed 82.54% DPPH radical-scavenging activity on day 4.,West Bengal,Haria,High,In-vitro assay; not a clinical health claim.,bioactivity,NR,direct,verified,1.0.0
HCLM0011,HS0006,microbiology,Twenty-nine LAB colony types were isolated; Lactobacillus fermentum KKL1 was selected and identified using 16S rRNA.,West Bengal,Haria,High,Strain-level laboratory evidence.,microbiology,NR,direct,verified,1.0.0
HCLM0012,HS0007,microbiology,"PCR-DGGE reported L. plantarum, L. brevis, Lysinibacillus sp., L. fusiformis and uncultured Bacillus groups.",West Bengal,Haria,High,Culture-independent evidence.,microbiology,NR,direct,verified,1.0.0
